id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
1005,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743830864}}",http://localhost:3000/login,1766743830874,,2025-12-26 10:10:30
1006,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743831855}}",http://localhost:3000/login,1766743831867,,2025-12-26 10:10:31
1007,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743832860}}",http://localhost:3000/login,1766743832867,,2025-12-26 10:10:32
1008,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743833857}}",http://localhost:3000/login,1766743833862,,2025-12-26 10:10:33
1009,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743834856}}",http://localhost:3000/login,1766743834872,,2025-12-26 10:10:34
1010,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743835853}}",http://localhost:3000/login,1766743835872,,2025-12-26 10:10:35
1011,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743836857}}",http://localhost:3000/login,1766743836868,,2025-12-26 10:10:36
1012,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743838855}}",http://localhost:3000/login,1766743838865,,2025-12-26 10:10:38
1013,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743839867}}",http://localhost:3000/login,1766743839875,,2025-12-26 10:10:39
1014,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743840867}}",http://localhost:3000/login,1766743840884,,2025-12-26 10:10:40
1015,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743841864}}",http://localhost:3000/login,1766743841871,,2025-12-26 10:10:41
