metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects
wpli,button_delay,theta,frontal,temporal,0.008979307487607002,0.3252075101355558,0.4226023720736358,0.5916433209030901,0.6875,0.8020833333333334,0.46766169154228854,increase,False,7
wpli,button_delay,theta,frontal_central,frontal_central,-0.019997160881757736,-0.37860027939881474,0.3551675460828343,0.5396223803348158,0.6875,0.8020833333333334,0.43283582089552236,decrease,False,7
wpli,button_delay,theta,frontal_central,central,0.006004444323480129,0.20345935197817416,0.6097409708153319,0.7113644659512205,0.6875,0.8020833333333334,0.6517412935323383,increase,False,7
wpli,button_delay,theta,frontal_central,parietal,0.026666084304451942,0.663134998333973,0.1298814064255025,0.4612792727490861,0.15625,0.546875,0.19402985074626866,increase,False,7
wpli,button_delay,theta,frontal_central,occipital,-0.012711931951344013,-0.14260742619912134,0.7189331430717886,0.7946103160267137,0.8125,0.853125,0.7960199004975125,decrease,False,7
wpli,button_delay,theta,frontal_central,temporal,0.021911991760134697,1.3891420238099532,0.010388251312438562,0.2181532775612098,0.015625,0.328125,0.014925373134328358,increase,False,7
wpli,button_delay,theta,central,central,-0.01896287314593792,-0.8018102165952596,0.07813316784398021,0.4612792727490861,0.078125,0.546875,0.06965174129353234,decrease,False,7
wpli,button_delay,theta,central,parietal,0.006751209497451782,0.22223630728600266,0.5779881127852435,0.7113644659512205,0.578125,0.8020833333333334,0.48258706467661694,increase,False,7
wpli,button_delay,theta,central,occipital,-0.0226882491260767,-0.43902969368408074,0.28952801155295427,0.5396223803348158,0.375,0.7159090909090908,0.2935323383084577,decrease,False,7
wpli,button_delay,theta,central,temporal,0.011335419490933418,0.3747341308287954,0.35974825355654383,0.5396223803348158,0.578125,0.8020833333333334,0.3333333333333333,increase,False,7
wpli,button_delay,theta,parietal,parietal,0.020626535639166832,0.37900955531245883,0.3546854175072594,0.5396223803348158,0.578125,0.8020833333333334,0.417910447761194,increase,False,7
wpli,button_delay,theta,parietal,occipital,0.035341206938028336,0.8123903077919059,0.07517030118253362,0.4612792727490861,0.109375,0.546875,0.11442786069651742,increase,False,7
wpli,button_delay,theta,parietal,temporal,0.023238105699419975,0.5911256273214655,0.16885723086712007,0.49527063951460304,0.21875,0.57421875,0.15920398009950248,increase,False,7
wpli,button_delay,theta,occipital,occipital,-0.03818615525960922,-0.44803554607112295,0.2806779617866315,0.5396223803348158,0.296875,0.6927083333333334,0.22885572139303484,decrease,False,7
wpli,button_delay,theta,occipital,temporal,0.0011161352740600705,0.022620133768250162,0.9542208696328962,0.9542208696328962,1.0,1.0,0.9651741293532339,increase,False,7
wpli,button_delay,theta,temporal,temporal,0.01910370960831642,0.5604057344766205,0.1886745293388964,0.49527063951460304,0.21875,0.57421875,0.21890547263681592,increase,False,7
wpli,button_delay,alpha,frontal,frontal,0.019334405660629272,0.7757463076946026,0.08595218560810504,0.6095146174705736,0.109375,0.546875,0.0945273631840796,increase,False,7
wpli,button_delay,alpha,frontal,frontal_central,0.007867864333093166,0.35241930177878195,0.38710545167312527,0.6811209191616915,0.578125,0.8671875,0.417910447761194,increase,False,7
wpli,button_delay,alpha,frontal,central,-0.0023127198219299316,-0.13125247876904508,0.7402514839843526,0.8636267313150781,0.9375,0.9375,0.7164179104477612,decrease,False,7
wpli,button_delay,alpha,frontal,parietal,0.007939023897051811,0.4319873542991727,0.2966130496604561,0.6811209191616915,0.46875,0.8203125,0.2537313432835821,increase,False,7
wpli,button_delay,alpha,frontal,occipital,0.013513480313122272,0.5826070074873424,0.174147033563021,0.6095146174705736,0.15625,0.546875,0.1791044776119403,increase,False,7
wpli,button_delay,alpha,frontal,temporal,-0.0004289490752853453,-0.0321806109093802,0.9349185296882623,0.9349185296882623,0.9375,0.9375,0.9402985074626866,decrease,False,7
wpli,button_delay,alpha,frontal_central,frontal_central,0.008809970691800117,0.3696318751441016,0.36586513604901505,0.6811209191616915,0.6875,0.90234375,0.42786069651741293,increase,False,7
wpli,button_delay,alpha,frontal_central,central,0.003637037007138133,0.2842239749667009,0.4805078104528674,0.729970514033503,0.46875,0.8203125,0.4975124378109453,increase,False,7
wpli,button_delay,alpha,frontal_central,parietal,0.013724952936172485,0.9680142245159198,0.04284373898147081,0.6095146174705736,0.03125,0.546875,0.029850746268656716,increase,False,7
wpli,button_delay,alpha,frontal_central,occipital,0.002124875783920288,0.04807514636597839,0.90294188052146,0.9349185296882623,0.46875,0.8203125,0.9751243781094527,increase,False,7
wpli,button_delay,alpha,frontal_central,temporal,0.009815326891839504,0.35075258814388793,0.38921195380668083,0.6811209191616915,0.8125,0.9375,0.6616915422885572,increase,False,7
wpli,button_delay,alpha,central,central,-0.008735282346606255,-0.3544245273191516,0.3845828167111866,0.6811209191616915,0.46875,0.8203125,0.40298507462686567,decrease,False,7
wpli,button_delay,alpha,central,parietal,0.006973019801080227,0.4028875737162522,0.32745305838989897,0.6811209191616915,0.375,0.8203125,0.31840796019900497,increase,False,7
wpli,button_delay,alpha,central,occipital,0.001760955317877233,0.15363673341823758,0.6984880025324147,0.8628381207753358,0.6875,0.90234375,0.7512437810945274,increase,False,7
wpli,button_delay,alpha,central,temporal,-0.0061996025033295155,-0.2800873815444431,0.4866470093556686,0.729970514033503,0.578125,0.8671875,0.4626865671641791,decrease,False,7
wpli,button_delay,alpha,parietal,parietal,-0.005675979889929295,-0.208099398344644,0.6018032371874831,0.7898667488085716,0.375,0.8203125,0.5572139303482587,decrease,False,7
wpli,button_delay,alpha,parietal,occipital,0.016968531534075737,0.6625442076299098,0.1301625209739332,0.6095146174705736,0.15625,0.546875,0.1890547263681592,increase,False,7
wpli,button_delay,alpha,parietal,temporal,0.018231060355901718,0.7087067088875306,0.10990487546675173,0.6095146174705736,0.15625,0.546875,0.06965174129353234,increase,False,7
wpli,button_delay,alpha,occipital,occipital,-0.012417205609381199,-0.6259230898898395,0.14879331526748676,0.6095146174705736,0.15625,0.546875,0.1791044776119403,decrease,False,7
wpli,button_delay,alpha,occipital,temporal,0.007431711535900831,0.23962649295785554,0.5494771508321239,0.7692680111649735,0.9375,0.9375,0.6666666666666666,increase,False,7
wpli,button_delay,alpha,temporal,temporal,0.0034386601764708757,0.08203836659391496,0.8353593668036275,0.9232919317303252,0.9375,0.9375,0.8606965174129353,increase,False,7
wpli,button_delay,beta,frontal,frontal,0.0004227842728141695,0.02770428686249802,0.9439509481199123,0.9998746326997103,0.578125,0.984375,1.0,increase,False,7
wpli,button_delay,beta,frontal,frontal_central,0.0013963027158752084,0.08033989248064322,0.8387081543362661,0.9863927504838385,0.6875,0.984375,0.7960199004975125,increase,False,7
wpli,button_delay,beta,frontal,central,0.0012748922454193234,0.07862262790979152,0.8420977802392584,0.9863927504838385,0.8125,0.984375,0.7810945273631841,increase,False,7
wpli,button_delay,beta,frontal,parietal,0.0009483397006988525,0.07691122352032115,0.8454795004147186,0.9863927504838385,0.9375,0.984375,0.8109452736318408,increase,False,7
wpli,button_delay,beta,frontal,occipital,-0.00027189511456526816,-0.010702106224575927,0.9783291338609261,0.9998746326997103,0.6875,0.984375,0.9850746268656716,decrease,False,7
wpli,button_delay,beta,frontal,temporal,-0.005548340734094381,-0.24276377057655035,0.544428090400343,0.9863927504838385,0.6875,0.984375,0.5621890547263682,decrease,False,7
wpli,button_delay,beta,frontal_central,frontal_central,0.009871597401797771,0.32103221733143256,0.42825754402696703,0.9863927504838385,0.8125,0.984375,0.5323383084577115,increase,False,7
wpli,button_delay,beta,frontal_central,central,0.0016294419765472412,0.09848781348881465,0.80313312902691,0.9863927504838385,0.9375,0.984375,0.8208955223880597,increase,False,7
wpli,button_delay,beta,frontal_central,parietal,0.0018290664302185178,0.12620657937467888,0.7498080853933162,0.9863927504838385,1.0,1.0,0.8208955223880597,increase,False,7
wpli,button_delay,beta,frontal_central,occipital,0.004694896284490824,0.15068047234830922,0.703941840063007,0.9863927504838385,0.8125,0.984375,0.7562189054726368,increase,False,7
wpli,button_delay,beta,frontal_central,temporal,-1.4432838497668854e-06,-6.190270326103971e-05,0.9998746326997103,0.9998746326997103,0.6875,0.984375,1.0,decrease,False,7
wpli,button_delay,beta,central,central,0.0032791409175843,0.12737157753327136,0.7475972551936019,0.9863927504838385,0.9375,0.984375,0.736318407960199,increase,False,7
wpli,button_delay,beta,central,parietal,0.0009774650679901242,0.11823551472413885,0.7650037990083115,0.9863927504838385,0.9375,0.984375,0.7711442786069652,increase,False,7
wpli,button_delay,beta,central,occipital,0.004527956247329712,0.15032861221495122,0.7045922669439706,0.9863927504838385,0.8125,0.984375,0.6965174129353234,increase,False,7
wpli,button_delay,beta,central,temporal,-0.004014070611447096,-0.24958844066666797,0.5335459852470641,0.9863927504838385,0.578125,0.984375,0.572139303482587,decrease,False,7
wpli,button_delay,beta,parietal,parietal,-0.006806203164160252,-0.27707374323893474,0.4911532653742997,0.9863927504838385,0.578125,0.984375,0.48258706467661694,decrease,False,7
wpli,button_delay,beta,parietal,occipital,0.009092275984585285,0.4074851324657604,0.322410790801298,0.9863927504838385,0.21875,0.984375,0.29850746268656714,increase,False,7
wpli,button_delay,beta,parietal,temporal,0.012585840187966824,0.4947229343147869,0.23845750431736062,0.9863927504838385,0.15625,0.984375,0.20398009950248755,increase,False,7
wpli,button_delay,beta,occipital,occipital,0.01094136480242014,0.39444121010049,0.33688485510815647,0.9863927504838385,0.375,0.984375,0.3383084577114428,increase,False,7
wpli,button_delay,beta,occipital,temporal,0.011930261738598347,0.34398776172948303,0.3978522117301045,0.9863927504838385,0.578125,0.984375,0.46766169154228854,increase,False,7
wpli,button_delay,beta,temporal,temporal,-0.00833137147128582,-0.21151023405896416,0.5960061020057695,0.9863927504838385,0.578125,0.984375,0.5124378109452736,decrease,False,7
wpli,button_delay,gamma,frontal,frontal,-0.01106544490903616,-0.5051126794309437,0.22986384541079077,0.9606390621278867,0.375,0.984375,0.29850746268656714,decrease,False,7
wpli,button_delay,gamma,frontal,frontal_central,-0.0003923944022972137,-0.029865853122092882,0.9395880661397573,0.9790025555963884,0.9375,0.984375,0.9502487562189055,decrease,False,7
wpli,button_delay,gamma,frontal,central,-0.00017348358232993633,-0.01036943993502029,0.9790025555963884,0.9790025555963884,0.6875,0.984375,1.0,decrease,False,7
wpli,button_delay,gamma,frontal,parietal,0.001992217032238841,0.13094460648270725,0.7408331606191645,0.9606390621278867,0.9375,0.984375,0.7661691542288557,increase,False,7
wpli,button_delay,gamma,frontal,occipital,-0.020839853212237358,-0.7160384407768247,0.10698851598796924,0.9606390621278867,0.15625,0.984375,0.11442786069651742,decrease,False,7
wpli,button_delay,gamma,frontal,temporal,-0.0012000586139038205,-0.0383080288710123,0.9225719820704013,0.9790025555963884,0.6875,0.984375,0.9701492537313433,decrease,False,7
